RefCurrentDirection,RefCurrentSpeed,WaveDirection,WaveType,WaveHs,WaveTp,WaveGamma,WindDirection,WindSpeed,ProbabilityRatio,ObjectName,SimulationDuration
0,0,0,JONSWAP,0.25,1,Calculated,0,0,0.000164354,riserChain,10800
0,0,0,JONSWAP,0.75,1,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,1.25,1,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,1.75,1,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,1,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,1,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,1,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,3,Calculated,0,0,0.041945102,riserChain,10800
0,0,0,JONSWAP,0.75,3,Calculated,0,0,0.002693474,riserChain,10800
0,0,0,JONSWAP,1.25,3,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,1.75,3,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,3,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,3,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,3,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,5,Calculated,0,0,0.33341261,riserChain,10800
0,0,0,JONSWAP,0.75,5,Calculated,0,0,0.199641901,riserChain,10800
0,0,0,JONSWAP,1.25,5,Calculated,0,0,0.002223614,riserChain,10800
0,0,0,JONSWAP,1.75,5,Calculated,0,0,5.80E-06,riserChain,10800
0,0,0,JONSWAP,2.25,5,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,5,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,5,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,7,Calculated,0,0,0.020443717,riserChain,10800
0,0,0,JONSWAP,0.75,7,Calculated,0,0,0.161956471,riserChain,10800
0,0,0,JONSWAP,1.25,7,Calculated,0,0,0.119278543,riserChain,10800
0,0,0,JONSWAP,1.75,7,Calculated,0,0,0.018842715,riserChain,10800
0,0,0,JONSWAP,2.25,7,Calculated,0,0,9.86E-05,riserChain,10800
0,0,0,JONSWAP,2.75,7,Calculated,0,0,1.35E-05,riserChain,10800
0,0,0,JONSWAP,3.25,7,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,9,Calculated,0,0,0.004922889,riserChain,10800
0,0,0,JONSWAP,0.75,9,Calculated,0,0,0.007047891,riserChain,10800
0,0,0,JONSWAP,1.25,9,Calculated,0,0,0.017309388,riserChain,10800
0,0,0,JONSWAP,1.75,9,Calculated,0,0,0.045444878,riserChain,10800
0,0,0,JONSWAP,2.25,9,Calculated,0,0,0.016356134,riserChain,10800
0,0,0,JONSWAP,2.75,9,Calculated,0,0,0.001601002,riserChain,10800
0,0,0,JONSWAP,3.25,9,Calculated,0,0,1.16E-05,riserChain,10800
0,0,0,JONSWAP,0.25,11,Calculated,0,0,0.001645475,riserChain,10800
0,0,0,JONSWAP,0.75,11,Calculated,0,0,0.002542655,riserChain,10800
0,0,0,JONSWAP,1.25,11,Calculated,0,0,6.77E-05,riserChain,10800
0,0,0,JONSWAP,1.75,11,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,11,Calculated,0,0,0.000189491,riserChain,10800
0,0,0,JONSWAP,2.75,11,Calculated,0,0,0.000446656,riserChain,10800
0,0,0,JONSWAP,3.25,11,Calculated,0,0,1.55E-05,riserChain,10800
0,0,0,JONSWAP,0.25,13,Calculated,0,0,0.000514332,riserChain,10800
0,0,0,JONSWAP,0.75,13,Calculated,0,0,0.00055687,riserChain,10800
0,0,0,JONSWAP,1.25,13,Calculated,0,0,3.87E-06,riserChain,10800
0,0,0,JONSWAP,1.75,13,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,13,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,13,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,13,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,15,Calculated,0,0,0.000112148,riserChain,10800
0,0,0,JONSWAP,0.75,15,Calculated,0,0,0.000444723,riserChain,10800
0,0,0,JONSWAP,1.25,15,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,1.75,15,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,15,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,15,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,15,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,17,Calculated,0,0,2.51E-05,riserChain,10800
0,0,0,JONSWAP,0.75,17,Calculated,0,0,1.35E-05,riserChain,10800
0,0,0,JONSWAP,1.25,17,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,1.75,17,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,17,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,17,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,17,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.25,19,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,0.75,19,Calculated,0,0,7.73E-06,riserChain,10800
0,0,0,JONSWAP,1.25,19,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,1.75,19,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.25,19,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,2.75,19,Calculated,0,0,0,riserChain,10800
0,0,0,JONSWAP,3.25,19,Calculated,0,0,0,riserChain,10800
