Reference Code,Nominal Size (in),Outer Diameter (m),Wall Thickness (mm),Inside Diameter (m)
API-SPEC-5L,"1/8""",0.0103,1.7,0.0069
API-SPEC-5L,"1/8""",0.0103,2.4,0.0055
API-SPEC-5L,"1/4""",0.0137,2.2,0.0093
API-SPEC-5L,"1/4""",0.0137,3.0,0.0077
API-SPEC-5L,"3/8""",0.0171,2.3,0.0125
API-SPEC-5L,"3/8""",0.0171,3.2,0.0107
API-SPEC-5L,"1/2""",0.0213,2.8,0.0157
API-SPEC-5L,"1/2""",0.0213,3.7,0.0139
API-SPEC-5L,"1/2""",0.0213,7.5,0.0063
API-SPEC-5L,"3/4""",0.0267,2.9,0.0209
API-SPEC-5L,"3/4""",0.0267,3.9,0.0189
API-SPEC-5L,"3/4""",0.0267,7.8,0.0111
API-SPEC-5L,"1""",0.0334,3.4,0.0266
API-SPEC-5L,"1""",0.0334,4.5,0.0244
API-SPEC-5L,"1""",0.0334,9.1,0.0152
API-SPEC-5L,"1 1/4""",0.0422,3.6,0.035
API-SPEC-5L,"1 1/4""",0.0422,4.9,0.0324
API-SPEC-5L,"1 1/4""",0.0422,9.7,0.0228
API-SPEC-5L,"1 1/2""",0.0483,3.7,0.0409
API-SPEC-5L,"1 1/2""",0.0483,5.1,0.0381
API-SPEC-5L,"1 1/2""",0.0483,10.2,0.0279
API-SPEC-5L,"2 3/8""",0.0603,2.1,0.0561
API-SPEC-5L,"2 3/8""",0.0603,2.8,0.0547
API-SPEC-5L,"2 3/8""",0.0603,3.2,0.0539
API-SPEC-5L,"2 3/8""",0.0603,3.6,0.0531
API-SPEC-5L,"2 3/8""",0.0603,3.9,0.0525
API-SPEC-5L,"2 3/8""",0.0603,4.4,0.0515
API-SPEC-5L,"2 3/8""",0.0603,4.8,0.0507
API-SPEC-5L,"2 3/8""",0.0603,5.5,0.0493
API-SPEC-5L,"2 3/8""",0.0603,6.4,0.0475
API-SPEC-5L,"2 3/8""",0.0603,7.1,0.0461
API-SPEC-5L,"2 3/8""",0.0603,11.1,0.0381
API-SPEC-5L,"2 7/8""",0.073,2.1,0.0688
API-SPEC-5L,"2 7/8""",0.073,2.8,0.0674
API-SPEC-5L,"2 7/8""",0.073,3.2,0.0666
API-SPEC-5L,"2 7/8""",0.073,3.6,0.0658
API-SPEC-5L,"2 7/8""",0.073,4.0,0.065
API-SPEC-5L,"2 7/8""",0.073,4.4,0.0642
API-SPEC-5L,"2 7/8""",0.073,4.8,0.0634
API-SPEC-5L,"2 7/8""",0.073,5.2,0.0626
API-SPEC-5L,"2 7/8""",0.073,5.5,0.062
API-SPEC-5L,"2 7/8""",0.073,6.4,0.0602
API-SPEC-5L,"2 7/8""",0.073,7.0,0.059
API-SPEC-5L,"2 7/8""",0.073,14.0,0.045
API-SPEC-5L,"3 1/2""",0.0889,2.1,0.0847
API-SPEC-5L,"3 1/2""",0.0889,2.8,0.0833
API-SPEC-5L,"3 1/2""",0.0889,3.2,0.0825
API-SPEC-5L,"3 1/2""",0.0889,3.6,0.0817
API-SPEC-5L,"3 1/2""",0.0889,4.0,0.0809
API-SPEC-5L,"3 1/2""",0.0889,4.4,0.0801
API-SPEC-5L,"3 1/2""",0.0889,4.8,0.0793
API-SPEC-5L,"3 1/2""",0.0889,5.5,0.0779
API-SPEC-5L,"3 1/2""",0.0889,6.4,0.0761
API-SPEC-5L,"3 1/2""",0.0889,7.1,0.0747
API-SPEC-5L,"3 1/2""",0.0889,7.6,0.0737
API-SPEC-5L,"3 1/2""",0.0889,15.2,0.0585
API-SPEC-5L,"4""",0.1016,2.1,0.0974
API-SPEC-5L,"4""",0.1016,2.8,0.096
API-SPEC-5L,"4""",0.1016,3.2,0.0952
API-SPEC-5L,"4""",0.1016,3.6,0.0944
API-SPEC-5L,"4""",0.1016,4.0,0.0936
API-SPEC-5L,"4""",0.1016,4.4,0.0928
API-SPEC-5L,"4""",0.1016,4.8,0.092
API-SPEC-5L,"4""",0.1016,5.7,0.0902
API-SPEC-5L,"4""",0.1016,6.4,0.0888
API-SPEC-5L,"4""",0.1016,7.1,0.0874
API-SPEC-5L,"4""",0.1016,8.1,0.0854
API-SPEC-5L,"4 1/2""",0.1143,2.1,0.1101
API-SPEC-5L,"4 1/2""",0.1143,3.2,0.1079
API-SPEC-5L,"4 1/2""",0.1143,3.6,0.1071
API-SPEC-5L,"4 1/2""",0.1143,4.0,0.1063
API-SPEC-5L,"4 1/2""",0.1143,4.4,0.1055
API-SPEC-5L,"4 1/2""",0.1143,4.8,0.1047
API-SPEC-5L,"4 1/2""",0.1143,5.2,0.1039
API-SPEC-5L,"4 1/2""",0.1143,5.6,0.1031
API-SPEC-5L,"4 1/2""",0.1143,6.0,0.1023
API-SPEC-5L,"4 1/2""",0.1143,6.4,0.1015
API-SPEC-5L,"4 1/2""",0.1143,7.1,0.1001
API-SPEC-5L,"4 1/2""",0.1143,7.9,0.0985
API-SPEC-5L,"4 1/2""",0.1143,8.6,0.0971
API-SPEC-5L,"4 1/2""",0.1143,11.1,0.0921
API-SPEC-5L,"4 1/2""",0.1143,13.5,0.0873
API-SPEC-5L,"4 1/2""",0.1143,17.1,0.0801
API-SPEC-5L,"5 9/16""",0.1413,2.1,0.1371
API-SPEC-5L,"5 9/16""",0.1413,3.2,0.1349
API-SPEC-5L,"5 9/16""",0.1413,4.0,0.1333
API-SPEC-5L,"5 9/16""",0.1413,4.8,0.1317
API-SPEC-5L,"5 9/16""",0.1413,5.6,0.1301
API-SPEC-5L,"5 9/16""",0.1413,6.6,0.1281
API-SPEC-5L,"5 9/16""",0.1413,7.1,0.1271
API-SPEC-5L,"5 9/16""",0.1413,7.9,0.1255
API-SPEC-5L,"5 9/16""",0.1413,8.7,0.1239
API-SPEC-5L,"5 9/16""",0.1413,9.5,0.1223
API-SPEC-5L,"5 9/16""",0.1413,12.7,0.1159
API-SPEC-5L,"5 9/16""",0.1413,15.9,0.1095
API-SPEC-5L,"5 9/16""",0.1413,19.1,0.1031
API-SPEC-5L,"6 5/8""",0.1683,2.1,0.1641
API-SPEC-5L,"6 5/8""",0.1683,2.8,0.1627
API-SPEC-5L,"6 5/8""",0.1683,3.2,0.1619
API-SPEC-5L,"6 5/8""",0.1683,3.6,0.1611
API-SPEC-5L,"6 5/8""",0.1683,4.0,0.1603
API-SPEC-5L,"6 5/8""",0.1683,4.4,0.1595
API-SPEC-5L,"6 5/8""",0.1683,4.8,0.1587
API-SPEC-5L,"6 5/8""",0.1683,5.2,0.1579
API-SPEC-5L,"6 5/8""",0.1683,5.6,0.1571
API-SPEC-5L,"6 5/8""",0.1683,6.4,0.1555
API-SPEC-5L,"6 5/8""",0.1683,7.1,0.1541
API-SPEC-5L,"6 5/8""",0.1683,7.9,0.1525
API-SPEC-5L,"6 5/8""",0.1683,8.7,0.1509
API-SPEC-5L,"6 5/8""",0.1683,9.5,0.1493
API-SPEC-5L,"6 5/8""",0.1683,11.0,0.1463
API-SPEC-5L,"6 5/8""",0.1683,12.7,0.1429
API-SPEC-5L,"6 5/8""",0.1683,14.3,0.1397
API-SPEC-5L,"6 5/8""",0.1683,15.9,0.1365
API-SPEC-5L,"6 5/8""",0.1683,18.3,0.1317
API-SPEC-5L,"6 5/8""",0.1683,19.1,0.1301
API-SPEC-5L,"6 5/8""",0.1683,22.2,0.1239
API-SPEC-5L,"8 5/8""",0.2191,3.2,0.2127
API-SPEC-5L,"8 5/8""",0.2191,4.0,0.2111
API-SPEC-5L,"8 5/8""",0.2191,4.8,0.2095
API-SPEC-5L,"8 5/8""",0.2191,5.2,0.2087
API-SPEC-5L,"8 5/8""",0.2191,5.6,0.2079
API-SPEC-5L,"8 5/8""",0.2191,6.4,0.2063
API-SPEC-5L,"8 5/8""",0.2191,7.0,0.2051
API-SPEC-5L,"8 5/8""",0.2191,7.9,0.2033
API-SPEC-5L,"8 5/8""",0.2191,8.2,0.2027
API-SPEC-5L,"8 5/8""",0.2191,8.7,0.2017
API-SPEC-5L,"8 5/8""",0.2191,9.5,0.2001
API-SPEC-5L,"8 5/8""",0.2191,11.1,0.1969
API-SPEC-5L,"8 5/8""",0.2191,12.7,0.1937
API-SPEC-5L,"8 5/8""",0.2191,14.3,0.1905
API-SPEC-5L,"8 5/8""",0.2191,15.9,0.1873
API-SPEC-5L,"8 5/8""",0.2191,18.3,0.1825
API-SPEC-5L,"8 5/8""",0.2191,19.1,0.1809
API-SPEC-5L,"8 5/8""",0.2191,20.6,0.1779
API-SPEC-5L,"8 5/8""",0.2191,22.2,0.1747
API-SPEC-5L,"8 5/8""",0.2191,25.4,0.1683
API-SPEC-5L,"10 3/4""",0.2731,4.0,0.2651
API-SPEC-5L,"10 3/4""",0.2731,4.8,0.2635
API-SPEC-5L,"10 3/4""",0.2731,5.2,0.2627
API-SPEC-5L,"10 3/4""",0.2731,5.6,0.2619
API-SPEC-5L,"10 3/4""",0.2731,6.4,0.2603
API-SPEC-5L,"10 3/4""",0.2731,7.1,0.2589
API-SPEC-5L,"10 3/4""",0.2731,7.8,0.2575
API-SPEC-5L,"10 3/4""",0.2731,8.7,0.2557
API-SPEC-5L,"10 3/4""",0.2731,9.3,0.2545
API-SPEC-5L,"10 3/4""",0.2731,11.1,0.2509
API-SPEC-5L,"10 3/4""",0.2731,12.7,0.2477
API-SPEC-5L,"10 3/4""",0.2731,14.3,0.2445
API-SPEC-5L,"10 3/4""",0.2731,15.9,0.2413
API-SPEC-5L,"10 3/4""",0.2731,18.3,0.2365
API-SPEC-5L,"10 3/4""",0.2731,20.6,0.2319
API-SPEC-5L,"10 3/4""",0.2731,22.2,0.2287
API-SPEC-5L,"10 3/4""",0.2731,23.8,0.2255
API-SPEC-5L,"10 3/4""",0.2731,25.4,0.2223
API-SPEC-5L,"10 3/4""",0.2731,31.8,0.2095
API-SPEC-5L,"12 3/4""",0.3239,4.4,0.3151
API-SPEC-5L,"12 3/4""",0.3239,4.8,0.3143
API-SPEC-5L,"12 3/4""",0.3239,5.2,0.3135
API-SPEC-5L,"12 3/4""",0.3239,5.6,0.3127
API-SPEC-5L,"12 3/4""",0.3239,6.4,0.3111
API-SPEC-5L,"12 3/4""",0.3239,7.1,0.3097
API-SPEC-5L,"12 3/4""",0.3239,7.9,0.3081
API-SPEC-5L,"12 3/4""",0.3239,8.4,0.3071
API-SPEC-5L,"12 3/4""",0.3239,8.7,0.3065
API-SPEC-5L,"12 3/4""",0.3239,9.5,0.3049
API-SPEC-5L,"12 3/4""",0.3239,10.3,0.3033
API-SPEC-5L,"12 3/4""",0.3239,11.1,0.3017
API-SPEC-5L,"12 3/4""",0.3239,12.7,0.2985
API-SPEC-5L,"12 3/4""",0.3239,14.3,0.2953
API-SPEC-5L,"12 3/4""",0.3239,15.9,0.2921
API-SPEC-5L,"12 3/4""",0.3239,17.5,0.2889
API-SPEC-5L,"12 3/4""",0.3239,19.1,0.2857
API-SPEC-5L,"12 3/4""",0.3239,20.6,0.2827
API-SPEC-5L,"12 3/4""",0.3239,22.2,0.2795
API-SPEC-5L,"12 3/4""",0.3239,23.8,0.2763
API-SPEC-5L,"12 3/4""",0.3239,25.4,0.2731
API-SPEC-5L,"12 3/4""",0.3239,27.0,0.2699
API-SPEC-5L,"12 3/4""",0.3239,28.6,0.2667
API-SPEC-5L,"12 3/4""",0.3239,31.8,0.2603
API-SPEC-5L,"14""",0.3556,4.8,0.346
API-SPEC-5L,"14""",0.3556,5.2,0.3452
API-SPEC-5L,"14""",0.3556,5.3,0.345
API-SPEC-5L,"14""",0.3556,5.6,0.3444
API-SPEC-5L,"14""",0.3556,6.4,0.3428
API-SPEC-5L,"14""",0.3556,7.1,0.3414
API-SPEC-5L,"14""",0.3556,7.9,0.3398
API-SPEC-5L,"14""",0.3556,8.7,0.3382
API-SPEC-5L,"14""",0.3556,9.5,0.3366
API-SPEC-5L,"14""",0.3556,10.3,0.335
API-SPEC-5L,"14""",0.3556,11.1,0.3334
API-SPEC-5L,"14""",0.3556,11.9,0.3318
API-SPEC-5L,"14""",0.3556,12.7,0.3302
API-SPEC-5L,"14""",0.3556,14.3,0.327
API-SPEC-5L,"14""",0.3556,15.9,0.3238
API-SPEC-5L,"14""",0.3556,17.5,0.3206
API-SPEC-5L,"14""",0.3556,19.1,0.3174
API-SPEC-5L,"14""",0.3556,20.6,0.3144
API-SPEC-5L,"14""",0.3556,22.2,0.3112
API-SPEC-5L,"14""",0.3556,23.8,0.308
API-SPEC-5L,"14""",0.3556,25.4,0.3048
API-SPEC-5L,"14""",0.3556,27.0,0.3016
API-SPEC-5L,"14""",0.3556,28.6,0.2984
API-SPEC-5L,"14""",0.3556,31.8,0.292
API-SPEC-5L,"16""",0.4064,4.8,0.3968
API-SPEC-5L,"16""",0.4064,5.2,0.396
API-SPEC-5L,"16""",0.4064,5.6,0.3952
API-SPEC-5L,"16""",0.4064,6.4,0.3936
API-SPEC-5L,"16""",0.4064,7.1,0.3922
API-SPEC-5L,"16""",0.4064,7.9,0.3906
API-SPEC-5L,"16""",0.4064,8.7,0.389
API-SPEC-5L,"16""",0.4064,9.5,0.3874
API-SPEC-5L,"16""",0.4064,10.3,0.3858
API-SPEC-5L,"16""",0.4064,11.1,0.3842
API-SPEC-5L,"16""",0.4064,11.9,0.3826
API-SPEC-5L,"16""",0.4064,12.7,0.381
API-SPEC-5L,"16""",0.4064,14.3,0.3778
API-SPEC-5L,"16""",0.4064,15.9,0.3746
API-SPEC-5L,"16""",0.4064,17.5,0.3714
API-SPEC-5L,"16""",0.4064,19.1,0.3682
API-SPEC-5L,"16""",0.4064,20.6,0.3652
API-SPEC-5L,"16""",0.4064,22.2,0.362
API-SPEC-5L,"16""",0.4064,23.8,0.3588
API-SPEC-5L,"16""",0.4064,25.4,0.3556
API-SPEC-5L,"16""",0.4064,27.0,0.3524
API-SPEC-5L,"16""",0.4064,28.6,0.3492
API-SPEC-5L,"16""",0.4064,30.2,0.346
API-SPEC-5L,"16""",0.4064,31.8,0.3428
API-SPEC-5L,"18""",0.4570,4.8,0.4474
API-SPEC-5L,"18""",0.4570,5.6,0.4458
API-SPEC-5L,"18""",0.4570,6.4,0.4442
API-SPEC-5L,"18""",0.4570,7.1,0.4428
API-SPEC-5L,"18""",0.4570,7.9,0.4412
API-SPEC-5L,"18""",0.4570,8.7,0.4396
API-SPEC-5L,"18""",0.4570,9.5,0.438
API-SPEC-5L,"18""",0.4570,10.3,0.4364
API-SPEC-5L,"18""",0.4570,11.1,0.4348
API-SPEC-5L,"18""",0.4570,11.9,0.4332
API-SPEC-5L,"18""",0.4570,12.7,0.4316
API-SPEC-5L,"18""",0.4570,14.3,0.4284
API-SPEC-5L,"18""",0.4570,15.9,0.4252
API-SPEC-5L,"18""",0.4570,17.5,0.422
API-SPEC-5L,"18""",0.4570,19.1,0.4188
API-SPEC-5L,"18""",0.4570,20.6,0.4158
API-SPEC-5L,"18""",0.4570,22.2,0.4126
API-SPEC-5L,"18""",0.4570,23.8,0.4094
API-SPEC-5L,"18""",0.4570,25.4,0.4062
API-SPEC-5L,"18""",0.4570,27.0,0.403
API-SPEC-5L,"18""",0.4570,28.6,0.3998
API-SPEC-5L,"18""",0.4570,30.2,0.3966
API-SPEC-5L,"18""",0.4570,31.8,0.3934
API-SPEC-5L,"20""",0.5080,5.6,0.4968
API-SPEC-5L,"20""",0.5080,6.4,0.4952
API-SPEC-5L,"20""",0.5080,7.1,0.4938
API-SPEC-5L,"20""",0.5080,7.9,0.4922
API-SPEC-5L,"20""",0.5080,8.7,0.4906
API-SPEC-5L,"20""",0.5080,9.5,0.489
API-SPEC-5L,"20""",0.5080,10.3,0.4874
API-SPEC-5L,"20""",0.5080,11.1,0.4858
API-SPEC-5L,"20""",0.5080,11.9,0.4842
API-SPEC-5L,"20""",0.5080,12.7,0.4826
API-SPEC-5L,"20""",0.5080,14.3,0.4794
API-SPEC-5L,"20""",0.5080,15.9,0.4762
API-SPEC-5L,"20""",0.5080,17.5,0.473
API-SPEC-5L,"20""",0.5080,19.1,0.4698
API-SPEC-5L,"20""",0.5080,20.6,0.4668
API-SPEC-5L,"20""",0.5080,22.2,0.4636
API-SPEC-5L,"20""",0.5080,23.8,0.4604
API-SPEC-5L,"20""",0.5080,25.4,0.4572
API-SPEC-5L,"20""",0.5080,27.0,0.454
API-SPEC-5L,"20""",0.5080,28.6,0.4508
API-SPEC-5L,"20""",0.5080,30.2,0.4476
API-SPEC-5L,"20""",0.5080,31.8,0.4444
API-SPEC-5L,"20""",0.5080,33.3,0.4414
API-SPEC-5L,"20""",0.5080,34.9,0.4382
API-SPEC-5L,"22""",0.5590,5.6,0.5478
API-SPEC-5L,"22""",0.5590,6.4,0.5462
API-SPEC-5L,"22""",0.5590,7.1,0.5448
API-SPEC-5L,"22""",0.5590,7.9,0.5432
API-SPEC-5L,"22""",0.5590,8.7,0.5416
API-SPEC-5L,"22""",0.5590,9.5,0.54
API-SPEC-5L,"22""",0.5590,10.3,0.5384
API-SPEC-5L,"22""",0.5590,11.1,0.5368
API-SPEC-5L,"22""",0.5590,11.9,0.5352
API-SPEC-5L,"22""",0.5590,12.7,0.5336
API-SPEC-5L,"22""",0.5590,14.3,0.5304
API-SPEC-5L,"22""",0.5590,15.9,0.5272
API-SPEC-5L,"22""",0.5590,17.5,0.524
API-SPEC-5L,"22""",0.5590,19.1,0.5208
API-SPEC-5L,"22""",0.5590,20.6,0.5178
API-SPEC-5L,"22""",0.5590,22.2,0.5146
API-SPEC-5L,"22""",0.5590,23.8,0.5114
API-SPEC-5L,"22""",0.5590,25.4,0.5082
API-SPEC-5L,"22""",0.5590,27.0,0.505
API-SPEC-5L,"22""",0.5590,28.6,0.5018
API-SPEC-5L,"22""",0.5590,30.2,0.4986
API-SPEC-5L,"22""",0.5590,31.8,0.4954
API-SPEC-5L,"22""",0.5590,33.3,0.4924
API-SPEC-5L,"22""",0.5590,34.9,0.4892
API-SPEC-5L,"22""",0.5590,36.5,0.486
API-SPEC-5L,"22""",0.5590,38.1,0.4828
API-SPEC-5L,"24""",0.6100,6.4,0.5972
API-SPEC-5L,"24""",0.6100,7.1,0.5958
API-SPEC-5L,"24""",0.6100,7.9,0.5942
API-SPEC-5L,"24""",0.6100,8.7,0.5926
API-SPEC-5L,"24""",0.6100,9.5,0.591
API-SPEC-5L,"24""",0.6100,10.3,0.5894
API-SPEC-5L,"24""",0.6100,11.1,0.5878
API-SPEC-5L,"24""",0.6100,11.9,0.5862
API-SPEC-5L,"24""",0.6100,12.7,0.5846
API-SPEC-5L,"24""",0.6100,14.3,0.5814
API-SPEC-5L,"24""",0.6100,15.9,0.5782
API-SPEC-5L,"24""",0.6100,17.5,0.575
API-SPEC-5L,"24""",0.6100,19.1,0.5718
API-SPEC-5L,"24""",0.6100,20.6,0.5688
API-SPEC-5L,"24""",0.6100,22.2,0.5656
API-SPEC-5L,"24""",0.6100,23.8,0.5624
API-SPEC-5L,"24""",0.6100,25.4,0.5592
API-SPEC-5L,"24""",0.6100,27.0,0.556
API-SPEC-5L,"24""",0.6100,28.6,0.5528
API-SPEC-5L,"24""",0.6100,30.2,0.5496
API-SPEC-5L,"24""",0.6100,31.8,0.5464
API-SPEC-5L,"24""",0.6100,33.3,0.5434
API-SPEC-5L,"24""",0.6100,34.9,0.5402
API-SPEC-5L,"24""",0.6100,36.5,0.537
API-SPEC-5L,"24""",0.6100,38.1,0.5338
API-SPEC-5L,"24""",0.6100,39.7,0.5306
API-SPEC-5L,"26""",0.6600,6.4,0.6472
API-SPEC-5L,"26""",0.6600,7.1,0.6458
API-SPEC-5L,"26""",0.6600,7.9,0.6442
API-SPEC-5L,"26""",0.6600,8.7,0.6426
API-SPEC-5L,"26""",0.6600,9.5,0.641
API-SPEC-5L,"26""",0.6600,10.3,0.6394
API-SPEC-5L,"26""",0.6600,11.1,0.6378
API-SPEC-5L,"26""",0.6600,11.9,0.6362
API-SPEC-5L,"26""",0.6600,12.7,0.6346
API-SPEC-5L,"26""",0.6600,14.3,0.6314
API-SPEC-5L,"26""",0.6600,15.9,0.6282
API-SPEC-5L,"26""",0.6600,17.5,0.625
API-SPEC-5L,"26""",0.6600,19.1,0.6218
API-SPEC-5L,"26""",0.6600,20.6,0.6188
API-SPEC-5L,"26""",0.6600,22.2,0.6156
API-SPEC-5L,"26""",0.6600,23.8,0.6124
API-SPEC-5L,"26""",0.6600,25.4,0.6092
