,component,component_bottom_elevation_from_end_A,stack_length,component_bottom_elevation_above_mudline,component_top_elevation_above_mudline,StressOD,StressID,drag_diameter,buoyancy_diameter,internal_fluid_ID,A,I,J,EI,EA,GJ,stack_in_service_weight,wet_weight_per_unit_length,dry_weight_per_unit_length,internal_fluid_weight_per_unit_length,internal_fluid_weight_in_seawater_per_unit_length,component_bottom_effective_tension,component_top_effective_tension,true_tension,shear7_top_x_by_L,shear7_bottom_x_by_L,elevation_above_MSL,strain,axial_stretch
0,,0.0,0.0,2468.2704,2468.2704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.87039999999979,0.0,0.0
1,Support Spring,0.0,0.0,2468.2704,2468.2704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.92552939122686,210.92552939122686,0,0.0,0.0,29.87039999999979,0.0,0.0
2,Diverter,4.572,4.572,2463.6983999999998,2468.2704,0.5334,0.48895,0.5334,0.5334,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,28.63249678346891,2.709023670140938,2.7310660145661156,3.531509834836533,1.6434678174460435,182.29303260775794,210.92552939122686,0,0.0,0.0018000720028801154,25.298399999999674,2.6631970660474157e-05,0.00012176136985968785
3,Upper FJ,4.572,0.0,2463.6983999999998,2463.6983999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.29303260775794,182.29303260775794,0,0.0018000720028801154,0.0018000720028801154,25.298399999999674,0.0,0.0
4,15ft Pup Jt.,9.144,4.572,2459.1263999999996,2463.6983999999998,0.5334,0.4826,1.2953999999999999,0.7622507893377743,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,78.36062464676345,10.949604464913916,13.698866295991197,3.4403779399588155,1.601057533069379,103.9324079609945,182.29303260775794,0,0.0018000720028801154,0.003600144005760231,20.726399999999558,1.706834733344023e-05,7.803648400848873e-05
5,Inner Barrel,12.192,3.048,2456.0784,2459.1263999999996,0.5334,0.4826,1.143,0.8874032522623859,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,103.9324079609945,26.27844094488189,30.65818110236221,3.4403779399588155,1.601057533069379,0.0,103.9324079609945,0,0.003600144005760231,0.004800192007680308,17.678399999999783,6.197752494516476e-06,1.889074960328622e-05
6,Tensioners,12.192,0.0,2456.0784,2456.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004800192007680308,0.004800192007680308,17.678399999999783,0.0,0.0
7,Outer Barrel,30.48,18.288,2437.7904,2456.0784,0.6604,0.5969,1.143,0.7763828936880905,0.5969,0.06270505053831534,0.0031055372697068213,0.006211074539413643,642356.6268787427,12970060.01021391,494120.4822144174,360.3371124411714,12.652582677165356,14.599133858267718,5.263015837513173,2.449263220602672,9394.161512178796,9754.498624619968,0,0.004800192007680308,0.01200048001920077,-0.6096000000002277,0.0007381870292704587,0.01349996439129815
8,MSL,30.48,0.0,2438.4,2438.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,0.0,0.0,0.0
9,5ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.7821996959201001,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,26.76533281137061,29.75791354008569,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
10,10ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.7206983203415884,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,14.35606903184305,16.618693067644738,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
11,15ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.7622507893377743,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,10.949604464913916,13.698866295991197,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
12,20ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.7821996959200997,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,9.24637218144935,12.238952910164425,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
13,25ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.7334112952593851,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,7.494476118457223,9.903091492841591,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
14,30ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.6989964023453556,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,6.326545409795807,8.345850547959703,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
15,40ft Pup Jt.,30.48,0.0,2437.7904,2437.7904,0.5334,0.4826,1.2953999999999999,0.811203742579293,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,0.0,6.691523756252501,10.04908283142427,3.4403779399588155,1.601057533069379,9394.161512178796,9394.161512178796,0,0.01200048001920077,0.01200048001920077,-0.6096000000002277,0.0,0.0
16,75ft Bare jt.  - protected,99.06,68.58,2369.2104,2437.7904,0.5334,0.4826,1.2953999999999999,0.7821996959201,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,503.6266658216944,5.7425800554650985,8.735160784180175,3.4403779399588155,1.601057533069379,8890.534846357103,9394.161512178796,0,0.012000480019200772,0.039001560062402504,-69.18960000000015,0.001090362714487692,0.07477707495956591
17,75ft Buoyancy Jt. 2500 ft rating,830.5799999999999,731.52,1637.6904,2369.2104,0.5334,0.4826,1.3716,1.224404834888719,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,1242.5885207647405,0.09758163026824761,10.097746610951827,3.4403779399588155,1.601057533069379,7647.946325592362,8890.534846357103,0,0.039001560062402484,0.327013080523221,-800.7096000000001,0.0009862314839990238,0.7214480551749658
18,75ft Buoyancy Jt. 5000 ft rating,1562.1,731.52,906.1704,1637.6904,0.5334,0.4826,1.3716,1.224404834888719,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,1669.7708567647408,0.6815469845989564,10.681711965282537,3.4403779399588155,1.601057533069379,5978.175468827621,7647.946325592362,0,0.327013080523221,0.6150246009840394,-1532.2296000000001,0.000812560124399755,0.5944039822009087
19,75ft Buoyancy Jt. 7500 ft rating,2293.62,731.52,174.6504,906.1704,0.5334,0.4826,1.3716,1.224404834888719,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,2239.3473047647403,1.4601674570399013,11.46033243772348,3.4403779399588155,1.601057533069379,3738.828164062881,5978.175468827621,0,0.6150246009840394,0.9030361214448579,-2263.7496,0.0005794495161468258,0.423878910051726
20,75ft Buoyancy Jt. 10000 ft rating,2385.06,91.44,83.21039999999999,174.6504,0.5334,0.4826,1.3716,1.224404834888719,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,333.3162050955926,2.04413281137061,12.044297792054191,3.4403779399588155,1.601057533069379,3405.5119589672886,3738.828164062881,0,0.9030361214448579,0.9390375615024602,-2355.1896,0.0004260350807594306,0.038956647784642334
21,75ft Bare jt.  - protected,2453.64,68.58,14.630399999999995,83.21039999999999,0.5334,0.4826,1.2953999999999999,0.7821996959201,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359943,503.6266658216944,5.7425800554650985,8.735160784180175,3.4403779399588155,1.601057533069379,2901.885293145594,3405.5119589672886,0,0.9390375615024602,0.9660386415456619,-2423.7696,0.0003761260594275846,0.025794725155543752
22,Lower FJ,2453.64,0.0,14.630400000000002,14.630400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.885293145594,2901.885293145594,0,0.9660386415456619,0.9660386415456619,-2423.7696,0.0,0.0
23,LMRP,2459.736,6.096,8.534400000000002,14.630400000000002,0.60325,0.47625,5.588,2.2018921023100777,0.47625,0.10767533930821825,0.003975404652162186,0.007950809304324373,822282.0404541594,22271820.219559237,632524.6465031995,1121.958893145594,182.4891732283465,218.98700787401577,3.3504373116808055,1.5592016314950234,1779.9264,2901.885293145594,0,0.9660386415456619,0.968438737549502,-2429.8656,0.00010510617558402346,0.000640727246360207
24,BOP,2466.7464,7.010400000000001,1.524000000000001,8.534400000000002,0.60325,0.47625,5.588,2.3347666059512973,0.47625,0.10767533930821825,0.003975404652162186,0.007950809304324373,822282.0404541594,22271820.219559237,632524.6465031995,1857.6042671174328,263.41915439917835,304.67757617254364,3.3504373116808055,1.5592016314950234,-77.6778671174327,1779.9264,0,0.968438737549502,0.9711988479539183,-2436.876,3.821529888669906e-05,0.0002679045313153151
25,Wellhead,2466.7464,0.0,1.524,1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.6778671174327,-77.6778671174327,0,0.9711988479539183,0.9711988479539183,-2436.876,0.0,0.0
26,Mudline,2466.7464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.6778671174327,-77.6778671174327,0,0.9711988479539183,0.9711988479539183,-2438.4,0.0,0.0
27,30ft Casing Program 1,2494.1784,27.432000000000002,-25.908,1.524,0.9144,0.8128,0.9144,0.9144,0.8128,0.13782443431451935,0.012893227746141522,0.025786455492283044,2666865.526097116,28507929.881035823,2051435.0200747047,412.10969376053663,10.481450799161976,10.546228301146172,9.758855984813923,4.541503916518127,-489.7875608779693,-77.6778671174327,0,0.9711988479539183,0.981999279971199,-2464.308,-9.952764552941004e-06,-0.0002730242372162777
28,30ft Casing Program 2,2539.8983999999996,45.72,-71.628,-25.908,0.9144,0.8382,0.9144,0.9144,0.8382000000000001,0.10488844817318198,0.010087034216739572,0.020174068433479145,2086425.8619208224,21695373.10799417,1604942.9707083248,584.8043093264623,7.961212418373368,8.025989920357564,10.378314616662466,4.829782973718985,-1074.5918702044316,-489.7875608779693,0,0.981999279971199,1.0,-2510.0280000000002,-3.6053296324873265e-05,-0.0016483567079732056
